Depcom	affichage	atteinte cible	Rep_hab graph	Rep_hab	Reste (num)	Nom Com Dep	Nom Commune	Latitude	Longitude	cible	nb rep 2019 cyclistes	Number of Records	Population	Unité affichage
95288	5.961935336	0.596193534	5.961935336	5.961935336	21	Groslay-95	Groslay	48.984970108	2.350490578	87.22	29	52	8722	réponses par habitant
95280	0.2	0.003231227	0.2	0.032312266	50	Goussainville-95	Goussainville	49.024343017	2.466198489	309.48	0	1	30948	réponses par habitant
95277	0.113912515	0.011391252	0.113912515	0.113912515	47	Gonesse-95	Gonesse	48.986490305	2.456989963	263.36	3	3	26336	réponses par habitant
95268	0.070425842	0.007042584	0.070425842	0.070425842	48	Garges-lès-Gonesse-95	Garges-lès-Gonesse	48.970123127	2.405340385	425.98	2	3	42598	réponses par habitant
95257	0.856898029	0.08	0.856898029	0.856898029	46	La Frette-sur-Seine-95	La Frette-sur-Seine	48.974524472	2.177867775	50	4	4	4668	réponses par habitant
95256	0.2	0.02	0.2	0.299760192	49	Frépillon-95	Frépillon	49.050130691	2.204898991	50	1	1	3336	réponses par habitant
95252	0.332299513	0.033229951	0.332299513	0.332299513	40	Franconville-95	Franconville	48.988416110	2.223893206	361.12	10	12	36112	réponses par habitant
95250	0.2	0.010392850	0.2	0.103928497	49	Fosses-95	Fosses	49.100043797	2.499064954	96.22	1	1	9622	réponses par habitant
95229	0.614313505	0.061431350	0.614313505	0.614313505	44	Ézanville-95	Ézanville	49.038600379	2.362691203	97.67	6	6	9767	réponses par habitant
95219	2.301456444	0.230145644	2.301456444	2.301456444	0	Ermont-95	Ermont	48.98824217	2.256624437	291.12	59	67	29112	réponses par habitant
95218	1.295641932	0.129564193	1.295641932	1.295641932	28	Éragny-95	Éragny	49.020458750	2.101366358	169.8	22	22	16980	réponses par habitant
95210	3.258476442	0.325847644	3.258476442	3.258476442	18	Enghien-les-Bains-95	Enghien-les-Bains	48.97016048	2.304859554	113.55	32	37	11355	réponses par habitant
95203	5.882119153	0.588211915	5.882119153	5.882119153	0	Eaubonne-95	Eaubonne	48.990994016	2.278009255	251.61	137	148	25161	réponses par habitant
95199	3.765989221	0.376598922	3.765989221	3.765989221	9	Domont-95	Domont	49.029665568	2.322901037	154.01	41	58	15401	réponses par habitant
